Name,Operating System,MAC Address,Most recent discovery,Serial number,IP Address,Fully qualified domain name,Chassis type,Product instance identifier,Operational status,Host name,Assigned to,Domain,Object ID,IOS version
LT-IT028,Windows Server 2019 Standard,E5:52:C8:07:AE:55,31-03-2025 08:41,IE140UN9WJUVXS7ETYJC,10.1.20.57,lt-it028.corp.local,8.0,E939F5C7-B1CF-44CD-9CC5-DB4A070100AA,Operational,lt-it028,CORP\lisa.spencer,CORP,16784370.0,5.00.9049.1000
LT-IT028,Windows Server 2019 Standard,E5:52:C8:07:AE:55,28-03-2025 07:17,IE140UN9WJUVXS7ETYJC,10.1.20.57,lt-it028.corp.local,8.0,E939F5C7-B1CF-44CD-9CC5-DB4A070100AA,Operational,lt-it028,CORP\lisa.spencer,CORP,16784370.0,5.00.9049.1000
LT-IT049,Windows Server 2022 Standard,01:0C:04:5B:14:00,14-04-2025 12:12,DELLH3EGDMG,10.1.20.58,lt-it049.fabrikam.local,9.0,9B4542F0-D562-459E-9C9A-3E0F6460C504,Operational,lt-it049,CONTOSO\elizabeth.durham,FABRIKAM,16762913.0,5.00.9049.1000
LT-IT049,Windows Server 2022 Standard,01:0C:04:5B:14:00,08-04-2025 10:49,DELLH3EGDMG,10.1.20.58,lt-it049.fabrikam.local,9.0,9B4542F0-D562-459E-9C9A-3E0F6460C504,Operational,lt-it049,CONTOSO\elizabeth.durham,FABRIKAM,16762913.0,5.00.9049.1000
LT-IT157,Windows Server 2022 Standard,E0:BF:63:CA:39:81,24-03-2025 15:34,R0TFZ2Y,10.1.20.163,lt-it157.fabrikam.local,10.0,FBE1F080-C1DE-46B6-942D-3B32241DF304,Operational,lt-it157,FABRIKAM\amber.stevens,FABRIKAM,16719299.0,5.00.9040.1001
LT-IT157,Windows Server 2022 Standard,E0:BF:63:CA:39:81,24-03-2025 15:34,R0TFZ2Y,10.1.20.163,lt-it157.fabrikam.local,10.0,FBE1F080-C1DE-46B6-942D-3B32241DF304,Operational,lt-it157,FABRIKAM\amber.stevens,FABRIKAM,16719299.0,5.00.9040.1001
LT-IT167,Windows Server 2019 Standard,31:76:77:C7:8F:6C,23-03-2025 13:33,LENOVOBX8IVVOG,,lt-it167.corp.local,8.0,0B160A2F-5CC0-44DC-9A13-EE16B5E005EE,Operational,lt-it167,CONTOSO\rebecca.powell,CORP,16764651.0,5.00.9049.1000
LT-IT167,Windows Server 2019 Standard,31:76:77:C7:8F:6C,23-03-2025 13:33,LENOVOBX8IVVOG,,lt-it167.corp.local,8.0,0B160A2F-5CC0-44DC-9A13-EE16B5E005EE,Operational,lt-it167,CONTOSO\rebecca.powell,CORP,16764651.0,5.00.9049.1000
LT-IT208,Windows Server 2019 Standard,74:E1:39:D4:17:AC,05-04-2025 18:44,M3N4Y6I,10.1.20.191,lt-it208.contoso.local,10.0,261F619B-4719-4DB7-AE78-272DC3D61D2A,Operational,lt-it208,FABRIKAM\matthew.wilkinson,CONTOSO,16751188.0,5.00.9049.1000
LT-IT208,Windows Server 2019 Standard,74:E1:39:D4:17:AC,05-04-2025 18:44,M3N4Y6I,10.1.20.191,lt-it208.contoso.local,10.0,261F619B-4719-4DB7-AE78-272DC3D61D2A,Operational,lt-it208,FABRIKAM\matthew.wilkinson,CONTOSO,16751188.0,5.00.9049.1000
LT-IT251,Windows Server 2019 Standard,F8:D8:24:5C:E9:B4,31-03-2025 09:54,DELL7M226QG,10.1.20.61,lt-it251.corp.local,14.0,C383857C-97BF-4220-B9B7-BE382996534A,Operational,lt-it251,CONTOSO\timothy.hall,CORP,16742521.0,5.00.9049.1000
LT-IT251,Windows Server 2019 Standard,F8:D8:24:5C:E9:B4,25-03-2025 07:54,DELL7M226QG,10.1.20.61,lt-it251.corp.local,14.0,C383857C-97BF-4220-B9B7-BE382996534A,Operational,lt-it251,CONTOSO\timothy.hall,CORP,16742521.0,5.00.9049.1000
LT-IT357,Windows Server 2022 Standard,9D:A9:81:9C:59:47,23-04-2025 11:10,HP1ELHU3UQWJ,10.1.20.60,lt-it357.corp.local,14.0,6B472882-C107-4D71-B2AB-263DB6C43118,Operational,lt-it357,CONTOSO\kevin.washington,CORP,16769234.0,5.00.9049.1000
LT-IT357,Windows Server 2022 Standard,9D:A9:81:9C:59:47,19-04-2025 07:40,HP1ELHU3UQWJ,10.1.20.60,lt-it357.corp.local,14.0,6B472882-C107-4D71-B2AB-263DB6C43118,Operational,lt-it357,CONTOSO\kevin.washington,CORP,16769234.0,5.00.9049.1000
SRV-SQL39,Windows Server 2022 Standard,B4:7F:37:88:87:8C,31-03-2025 10:33,DELLW63QLO7,10.1.1.33,srv-sql39.fabrikam.local,18.0,C52B659E-F717-4069-8855-6FF155D9820E,Operational,srv-sql39,SYSTEM,FABRIKAM,16767730.0,5.00.9040.1001
SRV-SQL39,Windows Server 2022 Standard,B4:7F:37:88:87:8C,27-03-2025 11:33,DELLW63QLO7,10.1.1.33,srv-sql39.fabrikam.local,18.0,C52B659E-F717-4069-8855-6FF155D9820E,Operational,srv-sql39,SYSTEM,FABRIKAM,16767730.0,5.00.9040.1001
SRV-SQL42,Windows Server 2022 Standard,B1:7A:2E:8C:F2:C3,15-04-2025 10:08,AJEOPKQWFE,10.1.2.36,srv-sql42.contoso.local,17.0,5DDD59CC-2FFF-48EC-AE43-6C258E9D665E,Operational,srv-sql42,SYSTEM,CONTOSO,16707929.0,5.00.9049.1000
SRV-SQL42,Windows Server 2022 Standard,B1:7A:2E:8C:F2:C3,15-04-2025 10:08,AJEOPKQWFE,10.1.2.36,srv-sql42.contoso.local,17.0,5DDD59CC-2FFF-48EC-AE43-6C258E9D665E,Operational,srv-sql42,SYSTEM,CONTOSO,16707929.0,5.00.9049.1000
TB-IT14,Windows Server 2022 Standard,38:B2:FB:BC:4C:45,22-04-2025 15:46,BY69RCTV,10.1.31.34,tb-it14.corp.local,13.0,296E746F-ECC7-4A9C-BD89-F5CCF85BA242,Operational,tb-it14,FABRIKAM\martin.estes,CORP,16746305.0,5.00.9049.1000
TB-IT14,Windows Server 2022 Standard,38:B2:FB:BC:4C:45,22-04-2025 15:46,BY69RCTV,10.1.31.34,tb-it14.corp.local,13.0,296E746F-ECC7-4A9C-BD89-F5CCF85BA242,Operational,tb-it14,FABRIKAM\martin.estes,CORP,16746305.0,5.00.9049.1000
WS-IT023,Windows Server 2022 Standard,04:86:54:0B:26:C4,16-04-2025 14:37,LENOVOXQFQMKC3,10.1.11.108,ws-it023.corp.local,3.0,37E0AFD0-6E55-46B2-990D-F116E09162FA,Operational,ws-it023,FABRIKAM\eric.baker,CORP,16766267.0,5.00.9049.1000
WS-IT023,Windows Server 2022 Standard,04:86:54:0B:26:C4,16-04-2025 14:37,LENOVOXQFQMKC3,10.1.11.108,ws-it023.corp.local,3.0,37E0AFD0-6E55-46B2-990D-F116E09162FA,Operational,ws-it023,FABRIKAM\eric.baker,CORP,16766267.0,5.00.9049.1000
WS-IT065,Windows Server 2019 Standard,3D:A8:8D:69:0A:C2,05-04-2025 13:21,2VMWTR3AAX,10.1.11.24,ws-it065.corp.local,15.0,FF7D5C31-2CF3-43F0-B052-F2CEB557AD6D,Operational,ws-it065,FABRIKAM\heather.stewart,CORP,16736127.0,5.00.9049.1000
WS-IT065,Windows Server 2019 Standard,3D:A8:8D:69:0A:C2,05-04-2025 13:21,2VMWTR3AAX,10.1.11.24,ws-it065.corp.local,15.0,FF7D5C31-2CF3-43F0-B052-F2CEB557AD6D,Operational,ws-it065,FABRIKAM\heather.stewart,CORP,16736127.0,5.00.9049.1000
WS-IT091,Windows Server 2022 Standard,79:74:C6:93:28:8D,23-04-2025 11:45,Z40PHYRXFYTTD6ICJIED,10.1.10.46,ws-it091.fabrikam.local,,DD6371FA-55CD-44CB-9D53-3AEB36A7418A,Operational,ws-it091,CONTOSO\darryl.schultz,FABRIKAM,16731740.0,5.00.9049.1000
WS-IT091,Windows Server 2022 Standard,79:74:C6:93:28:8D,14-04-2025 13:03,Z40PHYRXFYTTD6ICJIED,10.1.10.46,ws-it091.fabrikam.local,,DD6371FA-55CD-44CB-9D53-3AEB36A7418A,Operational,ws-it091,CONTOSO\darryl.schultz,FABRIKAM,16731740.0,5.00.9049.1000
WS-IT148,Windows Server 2019 Standard,6D:59:2B:37:5B:93,,W8NTZIJ,10.1.10.218,ws-it148.corp.local,,7385ECE9-BA9C-49F5-8916-9C23DE0F236F,Operational,ws-it148,FABRIKAM\melissa.green,CORP,16713252.0,5.00.9049.1000
